OrderID,CustomerName,OrderDate,Region,Category,Quantity,UnitPrice,Sales
ORD-013,Michael-Brown,2026-05-01,East,Furniture,1.0,25.5,25.5
ORD-036,John Smith,2026-05-01,West,Furniture,1.0,15.0,15.0
ORD-045,Sarah O'Connor,2026-05-01,North,Office Supplies,1.0,120.0,120.0
ORD-046,Robert Lee,2026-05-01,East,Electronics,1.0,25.5,25.5
ORD-048,Linda K,2026-05-01,West,Furniture,1.0,15.0,15.0
ORD-056,Mary Jane,2026-05-01,East,Office Supplies,1.0,120.0,120.0
ORD-061,John Smith,2026-05-01,West,Furniture,1.0,15.0,15.0
ORD-066,Michael-Brown,2026-05-01,North,Furniture,1.0,25.5,25.5
ORD-076,Anonymous Customer,2026-05-01,East,Furniture,2.0,120.0,240.0
ORD-089,John Smith,2026-05-01,North,Furniture,1.0,25.5,25.5
ORD-100,Mary Jane,2026-05-01,East,Electronics,1.0,15.0,15.0
ORD-102,Mary Jane,2026-05-01,East,Electronics,1.0,15.0,15.0
ORD-103,Michael-Brown,2026-05-01,South,Furniture,2.0,25.5,51.0
ORD-110,Anonymous Customer,2026-05-01,East,Electronics,1.0,25.5,25.5
ORD-115,Mary Jane,2026-05-01,South,Electronics,2.0,25.5,51.0
ORD-122,Anonymous Customer,2026-05-01,West,Electronics,1.0,25.5,25.5
ORD-131,Sarah O'Connor,2026-05-01,West,Furniture,3.0,25.5,76.5
ORD-137,Sarah O'Connor,2026-05-01,West,Electronics,3.0,25.5,76.5
ORD-141,John Smith,2026-05-01,North,Office Supplies,1.0,450.0,450.0
ORD-157,Mary Jane,2026-05-01,West,Electronics,2.0,15.0,30.0
ORD-160,John Smith,2026-05-01,West,Electronics,2.0,450.0,900.0
ORD-161,Anonymous Customer,2026-05-01,East,Office Supplies,1.0,15.0,15.0
ORD-162,Anonymous Customer,2026-05-01,West,Office Supplies,1.0,25.5,25.5
ORD-175,Robert Lee,2026-05-01,South,Office Supplies,1.0,25.5,25.5
ORD-182,Sarah O'Connor,2026-05-01,South,Electronics,1.0,25.5,25.5
ORD-189,Sarah O'Connor,2026-05-01,West,Electronics,1.0,150.0,150.0
ORD-010,Mary Jane,2026-05-02,East,Furniture,1.0,450.0,450.0
ORD-028,John Smith,2026-05-02,West,Electronics,2.0,15.0,30.0
ORD-029,John Smith,2026-05-02,East,Electronics,2.0,25.5,51.0
ORD-040,Robert Lee,2026-05-02,East,Furniture,1.0,25.5,25.5
ORD-049,John Smith,2026-05-02,East,Electronics,2.0,10.0,20.0
ORD-050,Anonymous Customer,2026-05-02,South,Office Supplies,2.0,15.0,30.0
ORD-067,Anonymous Customer,2026-05-02,South,Furniture,1.0,15.0,15.0
ORD-071,Robert Lee,2026-05-02,West,Furniture,1.0,25.5,25.5
ORD-082,Linda K,2026-05-02,South,Electronics,1.0,25.5,25.5
ORD-107,Anonymous Customer,2026-05-02,East,Furniture,1.0,25.5,25.5
ORD-108,Robert Lee,2026-05-02,West,Office Supplies,1.0,25.5,25.5
ORD-113,Anonymous Customer,2026-05-02,West,Electronics,2.0,15.0,30.0
ORD-120,Linda K,2026-05-02,North,Office Supplies,1.0,25.5,25.5
ORD-128,Anonymous Customer,2026-05-02,North,Office Supplies,2.0,450.0,900.0
ORD-133,Robert Lee,2026-05-02,East,Office Supplies,1.0,25.5,25.5
ORD-134,Mary Jane,2026-05-02,South,Office Supplies,1.0,15.0,15.0
ORD-136,Michael-Brown,2026-05-02,South,Furniture,1.0,120.0,120.0
ORD-166,Linda K,2026-05-02,North,Furniture,5.0,25.5,127.5
ORD-177,Mary Jane,2026-05-02,East,Furniture,1.0,15.0,15.0
ORD-180,Anonymous Customer,2026-05-02,West,Office Supplies,2.0,25.5,51.0
ORD-196,Linda K,2026-05-02,East,Electronics,5.0,25.5,127.5
ORD-005,Sarah O'Connor,2026-05-03,West,Office Supplies,1.0,15.0,15.0
ORD-014,Anonymous Customer,2026-05-03,East,Office Supplies,3.0,120.0,360.0
ORD-017,Anonymous Customer,2026-05-03,South,Electronics,1.0,15.0,15.0
ORD-019,Linda K,2026-05-03,East,Electronics,1.0,25.5,25.5
ORD-032,Sarah O'Connor,2026-05-03,West,Office Supplies,2.0,25.5,51.0
ORD-054,Anonymous Customer,2026-05-03,South,Office Supplies,1.0,15.0,15.0
ORD-055,Linda K,2026-05-03,North,Office Supplies,1.0,25.5,25.5
ORD-079,Linda K,2026-05-03,East,Furniture,1.0,15.0,15.0
ORD-086,Sarah O'Connor,2026-05-03,South,Furniture,3.0,25.5,76.5
ORD-087,Mary Jane,2026-05-03,West,Office Supplies,1.0,25.5,25.5
ORD-096,Michael-Brown,2026-05-03,West,Office Supplies,4.0,10.0,40.0
ORD-111,Michael-Brown,2026-05-03,East,Furniture,2.0,25.5,51.0
ORD-130,Robert Lee,2026-05-03,East,Electronics,4.0,15.0,60.0
ORD-163,Mary Jane,2026-05-03,East,Office Supplies,1.0,25.5,25.5
ORD-164,Mary Jane,2026-05-03,South,Office Supplies,1.0,15.0,15.0
ORD-185,Sarah O'Connor,2026-05-03,North,Furniture,2.0,15.0,30.0
ORD-188,Michael-Brown,2026-05-03,West,Furniture,1.0,25.5,25.5
ORD-195,Anonymous Customer,2026-05-03,West,Office Supplies,1.0,120.0,120.0
ORD-033,Robert Lee,2026-05-04,North,Electronics,2.0,15.0,30.0
ORD-041,Anonymous Customer,2026-05-04,South,Electronics,3.0,15.0,45.0
ORD-058,Sarah O'Connor,2026-05-04,South,Furniture,1.0,25.5,25.5
ORD-065,John Smith,2026-05-04,South,Office Supplies,1.0,15.0,15.0
ORD-069,Mary Jane,2026-05-04,East,Furniture,2.0,15.0,30.0
ORD-075,Robert Lee,2026-05-04,East,Electronics,1.0,120.0,120.0
ORD-077,Anonymous Customer,2026-05-04,East,Electronics,4.0,15.0,60.0
ORD-085,Michael-Brown,2026-05-04,East,Office Supplies,1.0,450.0,450.0
ORD-091,Sarah O'Connor,2026-05-04,West,Electronics,1.0,15.0,15.0
ORD-117,Michael-Brown,2026-05-04,East,Electronics,4.0,120.0,480.0
ORD-123,John Smith,2026-05-04,South,Electronics,2.0,25.5,51.0
ORD-126,Anonymous Customer,2026-05-04,South,Office Supplies,5.0,15.0,75.0
ORD-144,Sarah O'Connor,2026-05-04,South,Office Supplies,1.0,120.0,120.0
ORD-145,Robert Lee,2026-05-04,North,Electronics,2.0,120.0,240.0
ORD-146,John Smith,2026-05-04,South,Office Supplies,1.0,25.5,25.5
ORD-147,Anonymous Customer,2026-05-04,South,Furniture,3.0,120.0,360.0
ORD-151,Sarah O'Connor,2026-05-04,West,Furniture,1.0,120.0,120.0
ORD-156,Mary Jane,2026-05-04,East,Electronics,2.0,450.0,900.0
